1,Hidden Ponzi,Similar to,norm. GLD,In Public?,Advertising Link,Name,Code Link,ABI
2,0x496a84aeaa78f6fc8ed458904d7f2d52b222e823,0x1213c29b5e1a6f33e0d044f850a57b665e3cde21,0.04232568501,1,https://bitcointalk.org/index.php?topic=1429302.msg14456171#msg14456171,Fair And Easy Pyramid,,
3,0xf52ecc525d998eb880911a268b0fa4bc7d69a435,0x2464d1d97f8d0180cfad67bdb19bc30cca69dda0,0.3386709041,1,,,,
4,0xadd6f226b34957a8f59a5be195560b96323c74c7,0x446d1696a5527018453cda3d67aa4c2cd189b9f6,0.02242979354,1,,,,
5,0xd2dc2625079d2eb5d31a03ce2372304a23fb7b42,0x446d1696a5527018453cda3d67aa4c2cd189b9f6,0.02680997524,1,,,,
6,0x787e3cef5edd94089ab3988775fcb24a1582b38f,0x446d1696a5527018453cda3d67aa4c2cd189b9f6,0.03913812221,1,,,,"awaitingPayout, changeFee,nextPayoutGoal"
7,0xc2b9e4826a426a071254ccc40261299740c02b2c,0x446d1696a5527018453cda3d67aa4c2cd189b9f6,0.06930342385,1,,,,
8,0x0d5919572552c6c8c752aa402bd033f2b2886bbc,0x446d1696a5527018453cda3d67aa4c2cd189b9f6,0.3426913054,1,,,,
9,0x3f1aed30edc98c78cbbb699c662d79450a20acfb,0x4865e85c72a27ca6c362da75ba6707c07464b953,0.1494924639,,,,,
10,0xada4347a112336c8a87bf91b85af275a22a41740,0x6adf9e666e3e85876b1ba25edb31799faad8417b,0.3191919192,,,,,
11,0x0abce3be0075d067e12da8d266de752e20ff9842,0x75aa81161e07483f6ca199fef46c13eb13d190be,0.2703453063,,,Matthew,https://etherscan.io/address/0x0abce3be0075d067e12da8d266de752e20ff9842#code,
12,0xa1c1983aa3599657a74cf5a563e880eedc57ae4f,0x75aa81161e07483f6ca199fef46c13eb13d190be,0.2703453063,,,Matthew,https://etherscan.io/address/0xa1c1983aa3599657a74cf5a563e880eedc57ae4f#code,
13,0xb56e95aea830b0242be6a5d0239ed7f71408563b,0x75aa81161e07483f6ca199fef46c13eb13d190be,0.2703453063,,,Matthew,https://etherscan.io/address/0xb56e95aea830b0242be6a5d0239ed7f71408563b#code,
14,0x303e50180fe5794ba066e227f376b22341aad497,0x7fd6d3537b39842cfe16e813851296d4745b51a7,0.03556888794,1,,,,
15,0x5eabae401202b9ed9e5dfbbe2d67860361eb0a9d,0x7fd6d3537b39842cfe16e813851296d4745b51a7,0.1090458488,1,,,,
16,0x9e2a68ed6b854e2e55433b5ec8f471c7b274df51,0x7fd6d3537b39842cfe16e813851296d4745b51a7,0.1139811398,1,,BunnyBank,https://etherchain.org/account/0x9e2a68ed6b854e2e55433b5ec8f471c7b274df51#code,
17,0x14d7a3f1767b94b366ba29b4f774588459359f27,0x7fd6d3537b39842cfe16e813851296d4745b51a7,0.1519490851,1,,,,
18,0xc11705a782e1a4c4db0a5b9ee22ce7554dd5e8e1,0x7fd6d3537b39842cfe16e813851296d4745b51a7,0.1523165639,1,,,,
19,0xe6329d65ebcc5cbccdd719d7b18ac9e220dca145,0x7fd6d3537b39842cfe16e813851296d4745b51a7,0.1532962669,1,,,,
20,0xa0285193e366a634fd9639d650b2115d77681a37,0x7fd6d3537b39842cfe16e813851296d4745b51a7,0.1769245992,1,,Fox,https://etherchain.org/account/0xa0285193e366a634fd9639d650b2115d77681a37#code,
21,0xfe9c69945687539fabbf531133838d9cce522a76,0x7fd6d3537b39842cfe16e813851296d4745b51a7,0.1771349316,1,,Bunny,https://etherchain.org/account/0xfe9c69945687539fabbf531133838d9cce522a76#code,
22,0x0ec3cd77dbc5b512b5f9e45578813e1dbbcda719,0x7fd6d3537b39842cfe16e813851296d4745b51a7,0.177496038,1,,,,
23,0x0b230b071008bbb145b5bff27db01c9248f486b9,0x7fd6d3537b39842cfe16e813851296d4745b51a7,0.1778570014,1,,,,
24,0xd0e614953de3dd3d4816b195d261769efd880a50,0x7fd6d3537b39842cfe16e813851296d4745b51a7,0.1778570014,1,,,,
25,0x2f5cd5d797ec8868a5aaefd784ed2c5bc46a1a47,0x7fd6d3537b39842cfe16e813851296d4745b51a7,0.249771439,0,,test,https://etherchain.org/account/0x2f5cd5d797ec8868a5aaefd784ed2c5bc46a1a47#code,
26,0x827ce5d8943d69c8538cd5662daf72be52176ed6,0xa39fcb48adf288f143459d57a1a0756718c919ae,0,1,,,,
27,0xc305b6401643b63dd9d74040bb16bb5c8bbbaa88,0xa39fcb48adf288f143459d57a1a0756718c919ae,0.02943005181,1,https://bitcointalk.org/index.php?topic=996518.5325;imode,,,
28,0x36b5766f8f0b674a2b3dcb7df5fd7a5cb68c073b,0xa850e6f693b9bcb31df3ee44e7888ef19e608107,0.1204236006,,,,,
29,0x6492904953ed9015d6b37f8063b65c8de105d837,0xa864694cacdf27900afb3c32b1b07aea3c465dde,0.08206994138,1,,,,
30,0x6b62497fc36e1f47c4c2d9f29fdf28cc3ebed72d,0xa9e4e3b1da2462752aea980698c335e70e9ab26c,0,1,,DynamicPyramid,https://etherscan.io/address/0x6b62497fc36e1f47c4c2d9f29fdf28cc3ebed72d#code,
31,0x79c039d075bc3b86a7df63ebbe55fbc642b5220f,0xa9e4e3b1da2462752aea980698c335e70e9ab26c,0,1,,DynamicPyramid,https://etherscan.io/address/0x79c039d075bc3b86a7df63ebbe55fbc642b5220f#code,
32,0x5c3578f62ccd0b126214daa589ca11c7dc681acf,0xa9e4e3b1da2462752aea980698c335e70e9ab26c,0.1260151218,1,,,,"fees, multiplier and payouts"
33,0xed41e841ed150f8fb1febc8c443a113c1cd95a1d,0xba6284ca128d72b25f1353fadd06aa145d9095af,0.06365770937,1,,,,
34,0x15d03b33f8abd63059655b98c586f975ffc63401,0xbb9854bfd082c48b4d426ac6a2a152b01326f46f,0.06432748538,1,,,,
35,0x8153510d6b4205ae9fa956b1a3012922ded49350,0xbb9854bfd082c48b4d426ac6a2a152b01326f46f,0.06432748538,1,,,,
36,0xc1824278b767d9efb304c63128b1a92babc3fa4b,0xbb9854bfd082c48b4d426ac6a2a152b01326f46f,0.06432748538,1,https://bitcoingarden.org/forum/index.php?topic=6379.0,Ponzi Doubler,,
37,0xd57ad441160865b7393be8c8244a69957dc4d53e,0xbb9854bfd082c48b4d426ac6a2a152b01326f46f,0.1487077535,1,,,,
38,0x883ee0b0ce06f11cb215c7e2299f1948b247784b,0xbe181da06d93867af0a3ffadcebe345ec35dae4e,0.1364922207,,,GetRichNow,https://etherchain.org/account/0x883ee0b0ce06f11cb215c7e2299f1948b247784b#code,
39,0x5b22f555d35af3b47e1b521e96073c99c880c4de,0xc357a046c5c13bb4e6d918a208b8b4a0ab2f2efd,0.228347599,,,,,
40,0xac2bb751cd9528ffbcfdbbd976b906baed792a56,0xca7c390f8f843a8c3036841fde755e5d0acb97da,0,1,,,,
41,0xdf05fb3eab68898ec07cadba5849c30fafe9b113,0xca7c390f8f843a8c3036841fde755e5d0acb97da,0,1,,,,
42,0x21905ebd9e1f9587c7b3685d424679f16cccbb58,0xca7c390f8f843a8c3036841fde755e5d0acb97da,0.05958875367,1,,,,
43,0x79280ded572a0a7dfd31dfcc5baef3121ef0fee6,0xca7c390f8f843a8c3036841fde755e5d0acb97da,0.1674302374,1,,,,
44,0x40b88bbd78cb0441259de7a7d608a39b7388369a,0xca7c390f8f843a8c3036841fde755e5d0acb97da,0.2024086203,1,,Diana,https://etherchain.org/account/0x40b88bbd78cb0441259de7a7d608a39b7388369a#code,
45,0xa7481af3bbc9d902c02f58204c5683052de53330,0xca7c390f8f843a8c3036841fde755e5d0acb97da,0.2118944466,0,,Tripler,https://etherchain.org/account/0xa7481af3bbc9d902c02f58204c5683052de53330#code,
46,0xd361e374be9e3907fceac60c6ea5cbdce89fc9ae,0xcaaca224e35d0a1fa3304a3c4ec8beb5f28a99aa,0.3429171039,,https://forum.ethereum.org/discussion/5995/highlander,Highlander,https://etherscan.io/address/0xD361e374bE9e3907FCEAC60c6EA5CbDcE89fC9ae,
47,0xecff67d36188c73d07556e4da2091c8d2f8f4f4c,0xcac337492149bdb66b088bf5914bedfbf78ccc18,0.1334702259,,,,,
48,0x26bad8baf94001cd778731f8fd84b6cb01859748,0xdc84953d7c6448e498eb3c33ab0f815da5d13999,0.1044204664,1,,,,
49,0xa90be2201bfed97587a2a17949e8624eafe51d13,0xdc84953d7c6448e498eb3c33ab0f815da5d13999,0.2094222222,0,https://bitcointalk.org/index.php?topic=1370085.0,Doubler,,
50,0x972bb83d20e5ba0233ef4913595e6921e4060419,0xdc84953d7c6448e498eb3c33ab0f815da5d13999,0.2772449869,0,,,,
51,0xc07ec6b6e3783b6855d000e104e44b3f86bbfc22,0xe82719202e5965cf5d9b6673b7503a3b92de20be,0,1,,,,
52,0x5158cf97c3e001b402ccb0f9063736ee8d6dad5a,0xeacba276ff97853102c3d540b663c08ec7fbe0ed,0.1525940997,,,Ai,https://etherchain.org/account/0x5158cf97c3e001b402ccb0f9063736ee8d6dad5a#code,
53,0x85c84c949b1c29c85b777f2873a19450dbb1a057,0xeacba276ff97853102c3d540b663c08ec7fbe0ed,0.3080116231,,,Multi133v2,https://etherchain.org/account/0x85c84c949b1c29c85b777f2873a19450dbb1a057#code,
