1,Id,Name,Date 1st Tx,Date last Tx,Lifetime
2,1,x15,2016-02-19,2019-01-04,1050
3,2,Rubixi,2016-03-14,2019-01-04,1026
4,3,EthVentures4,2016-04-08,2019-01-22,1019
5,4,Doubler2,2016-02-16,2018-11-22,1010
6,5,DoubleTx,2016-02-19,2018-11-18,1003
7,6,Unnamed 2,2016-02-19,2018-10-28,982
8,7,MyScheme,2015-08-07,2018-04-10,977
9,8,SmallPonzi1,2016-04-06,2018-12-04,972
10,9,DoubleTx,2016-02-19,2018-10-14,968
11,10,Unnamed 29,2016-04-01,2018-11-11,954
12,11,DynamicPyramid,2016-02-23,2018-10-01,951
13,12,EthereumPyramid,2015-09-07,2018-04-11,947
14,13,PiggyBank2,2016-03-22,2018-10-15,937
15,14,The10ETHPyramid1,2016-04-04,2018-10-09,918
16,15,SmartRevshare2,2016-04-06,2018-09-24,901
17,16,GreedPit,2016-03-27,2018-09-03,890
18,17,LittleCactus,2016-03-31,2018-09-04,887
19,18,Goodfellas,2016-04-03,2018-09-04,884
20,19,Thesimplegame,2016-04-03,2018-09-04,884
21,20,FastRealisticPyramid1,2016-03-29,2018-08-30,884
22,21,Ethstick,2016-04-06,2018-09-04,881
23,22,Theultimatepyramid1,2016-04-06,2018-09-04,881
24,23,TheGame2,2016-04-07,2018-09-04,880
25,24,EthVenturesFinal1,2016-04-08,2018-08-30,874
26,25,X3,2016-03-26,2018-08-13,870
27,26,Doubler,2016-02-19,2018-06-26,858
28,27,Highlander,2016-04-03,2018-08-03,852
29,28,StackyGame,2016-06-16,2018-09-30,836
30,29,DianaEthereum-x1.8,2016-03-08,2018-05-17,800
31,30,Send1Get2,2016-04-05,2018-04-30,755
32,31,Ethereum-x2.0,2016-04-24,2018-05-17,753
33,32,PlusOnePonzi1,2016-04-05,2018-04-26,751
34,33,Unnamed 30,2016-03-08,2018-03-12,734
35,34,FountainOfWealth,2016-04-02,2018-03-29,726
36,35,ShinySquirrels1,2016-04-21,2018-03-28,706
37,36,ProtectTheCastle2,2016-03-20,2018-02-22,704
38,37,DepositHolder1,2016-09-08,2018-08-01,692
39,38,EthVenturesFinal2,2016-04-08,2018-02-08,671
40,39,PiggyBank1,2016-03-26,2018-01-23,668
41,40,UfoPonzi,2016-03-26,2017-11-08,592
42,41,Unnamed 32,2016-02-22,2017-10-02,588
43,42,WealthRedistributionProject,2016-04-02,2017-11-09,586
44,43,ZeroPonzi,2016-04-04,2017-10-27,571
45,44,Unnamed 33,2016-04-05,2017-10-19,562
46,45,MultiplyX10,2016-04-15,2017-10-19,552
47,46,Theultimatepyramid2,2016-04-05,2017-10-01,544
48,47,Bunny,2016-02-29,2017-08-12,530
49,48,Tomeka,2016-03-14,2017-08-12,516
50,49,Unnamed 22,2016-03-12,2017-08-06,512
51,50,Unnamed 15,2016-02-29,2017-07-19,506
52,51,Matthew,2016-11-26,2018-04-05,495
53,52,NanoPyramid2,2016-04-09,2017-08-07,485
54,53,Government,2016-03-08,2017-03-20,377
55,54,Etheramid2,2016-05-11,2017-04-28,352
56,55,HYIP,2017-04-18,2018-04-01,348
57,56,PonzICO,2017-05-10,2018-04-10,335
58,57,KingOfTheEtherThrone,2016-07-31,2017-05-25,298
59,58,KingOfTheEtherThrone1,2016-02-06,2016-10-14,251
60,59,Doubler3,2016-02-20,2016-10-14,237
61,60,Unnamed 17,2016-02-29,2016-10-14,228
62,61,Tanya1,2016-08-25,2017-04-09,227
63,62,Unnamed 20,2016-03-12,2016-10-14,216
64,63,Tripler,2016-02-21,2016-09-09,201
65,64,Unnamed 5,2016-03-27,2016-10-14,201
66,65,Unnamed 6,2016-03-27,2016-10-14,201
67,66,Unnamed 8,2016-03-27,2016-10-14,201
68,67,Unnamed 4,2016-03-29,2016-10-14,199
69,68,DynamicPyramid,2016-04-05,2016-10-14,192
70,69,Unnamed 21,2016-04-05,2016-10-14,192
71,70,RobinHoodPonzi,2016-04-06,2016-10-14,191
72,71,EthVentures3,2016-04-07,2016-10-15,191
73,72,EthVentures1,2016-04-07,2016-10-15,191
74,73,EthVentures2,2016-04-07,2016-10-14,190
75,74,EthBank,2016-04-09,2016-10-14,188
76,75,Dividend,2016-04-11,2016-10-14,186
77,76,WealthShare,2016-04-11,2016-10-14,186
78,77,SmartRevshare1,2016-04-12,2016-10-14,185
79,78,ShinySquirrels2,2016-04-21,2016-10-14,176
80,79,DFS,2016-11-12,2017-04-19,158
81,80,Unnamed 13,2016-02-25,2016-06-23,119
82,81,BigRisk2,2016-04-09,2016-07-25,107
83,82,Unnamed 7,2016-06-29,2016-10-14,107
84,83,Kardashian,2016-07-12,2016-10-14,94
85,84,TheRun,2016-04-12,2016-06-15,64
86,85,LuckyDoubler,2016-04-23,2016-06-16,54
87,86,Unnamed 12,2016-02-25,2016-04-12,47
88,87,Unnamed 14,2016-02-25,2016-04-12,47
89,88,DepositHolder2,2016-09-08,2016-10-15,37
90,89,ProtectTheCastle3,2017-02-15,2017-03-19,32
91,90,Etheramid1,2016-04-14,2016-05-11,27
92,91,Unnamed 27,2016-04-01,2016-04-28,27
93,92,SwarmRedistribution1,2017-01-03,2017-01-17,14
94,93,TreasureChest,2016-03-26,2016-04-07,12
95,94,Timegame1,2016-04-11,2016-04-23,12
96,95,Multi133v3,2016-02-22,2016-03-05,12
97,96,TheGame1,2016-04-11,2016-04-20,9
