1,Id,Name,Address,In Tx,Out Tx,In ETH,Out ETH,In USD,Out USD,Paying,Paid,Date 1st Tx,Date last Tx,Lifetime,Sources
2,1,Government,0xf45717552f12ef7cb65e95476f217ea008167ae3,723,846,2938.8861,2938.8861,"$35,738","$40,066.24",40,27,2016-03-08,2017-03-20,377,
3,2,EthereumPyramid,0x7011f3edc7fa43c81440f9f43a6458174113b162,978,339,986.0811857,916.7811857,"$5,044","$5,290.46",327,125,2015-09-07,2018-04-11,947,
4,3,ProtectTheCastle2,0x7d56485e026d5d3881f778e99969d2b1f90c50af,890,1257,1332.22463,1332.22463,"$186,040","$190,802.38",101,68,2016-03-20,2018-02-22,704,
5,4,TreasureChest,0x4865e85c72a27ca6c362da75ba6707c07464b953,73,1197,87.55649206,87.38955156,$946,$940.82,16,10,2016-03-26,2016-04-07,12,
6,5,ZeroPonzi,0x43bbc7fafb860d974037b8f7dd06b6f6fe799b3e,627,499,4489.783776,4489.177096,"$49,816","$49,770.97",47,28,2016-04-04,2017-10-27,571,
7,6,Ethstick,0xba6284ca128d72b25f1353fadd06aa145d9095af,230,360,788.8097667,788.1477684,"$8,033","$8,018.67",45,17,2016-04-06,2018-09-04,881,
8,7,Doubler2,0xfd2487cc0e5dce97f08be1bc8ef1dce8d5988b4d,395,161,4857.752036,4825.316506,"$26,376","$26,220.34",211,68,2016-02-16,2018-11-22,1010,
9,8,DynamicPyramid,0xa9e4e3b1da2462752aea980698c335e70e9ab26c,444,143,7474.185568,7437.20649,"$84,187","$83,541.68",175,51,2016-02-23,2018-10-01,951,
10,9,Etheramid1,0x9758da9b4d001ed2d0df46d25069edf53750767a,111,382,110,110,$909,$908.85,103,41,2016-04-14,2016-05-11,27,
11,10,DianaEthereum-x1.8,0xca7c390f8f843a8c3036841fde755e5d0acb97da,288,168,5307.419102,5303.565175,"$61,166","$61,266.87",129,84,2016-03-08,2018-05-17,800,
12,11,Rubixi,0xe82719202e5965cf5d9b6673b7503a3b92de20be,686,66,1367.046706,1363.042441,"$16,986","$16,775.03",104,28,2016-03-14,2019-01-04,1026,
13,12,PiggyBank2,0xdcb13fa157eebf22ddc8c9aa1d6e394810de6fa3,356,197,315.9363935,313.3908851,"$3,487","$3,442.81",40,37,2016-03-22,2018-10-15,937,
14,13,LittleCactus,0x1213c29b5e1a6f33e0d044f850a57b665e3cde21,125,197,806.7036668,803.2652621,"$8,680","$8,607.27",51,37,2016-03-31,2018-09-04,887,
15,14,WealthRedistributionProject,0x3325439082ff8ba7371dfdaa1af297bbfcac21b2,25,213,41.10283299,40.10283299,$475,$463.00,18,17,2016-04-02,2017-11-09,586,
16,15,GreedPit,0x446d1696a5527018453cda3d67aa4c2cd189b9f6,370,66,918.0338462,895.1777655,"$10,617","$10,379.22",62,13,2016-03-27,2018-09-03,890,
17,16,Etheramid2,0xfeeb8a968f0d7fd58e29fbfc525051f50ee2fedc,106,7,2,2,$84,$83.74,2,6,2016-05-11,2017-04-28,352,
18,17,Doubler,0x7fd6d3537b39842cfe16e813851296d4745b51a7,156,57,3073.256664,3072.728773,"$31,292","$35,926.77",92,17,2016-02-19,2018-06-26,858,
19,18,ShinySquirrels1,0x294308484f47ff5a833a284ac6949eb02728fbe4,275,100,86.8165,86.8165,$761,"$1,773.15",23,10,2016-04-21,2018-03-28,706,
20,19,Goodfellas,0x5e84c1a6e8b7cd42041004de5cd911d537c5c007,163,0,0,0,$0,$0.00,0,0,2016-04-03,2018-09-04,884,
21,20,TheGame2,0xb5aff01f3e820735fac9abb594dc9993cb9e5bd2,72,84,118.920002,110.910001,"$1,182","$1,111.66",23,17,2016-04-07,2018-09-04,880,
22,21,SmartRevshare2,0xba69e7c96e9541863f009e713caf26d4ad2241a0,561,109,32.79,1.8421,$326,$16.23,9,7,2016-04-06,2018-09-24,901,
23,22,TheRun,0xcac337492149bdb66b088bf5914bedfbf78ccc18,73,43,263.91,263.9099948,"$1,992","$1,992.00",11,7,2016-04-12,2016-06-15,64,
24,23,Theultimatepyramid2,0x0f26c26318872e8fa85dee5d30cba45ed53b3d3e,48,24,150.948,150.2064,"$1,568","$1,560.64",15,9,2016-04-05,2017-10-01,544,
25,24,NanoPyramid2,0xe19e5f100d6a31169b5dca265c9285059c41d4f6,59,46,16.32609129,16.19694811,$147,$135.94,21,16,2016-04-09,2017-08-07,485,
26,25,TheGame1,0x3e84512f277a5081b9209831c51bce665035d9db,31,70,109.55,109.55,$932,$925.86,10,10,2016-04-11,2016-04-20,9,
27,26,Fairandeasy1,0xa83c4a6d0418074655bdbe74fed8435c46c19f66,38,19,73.3766,73.3665,$722,$722.37,15,11,2016-04-07,2016-04-08,1,
28,27,Theultimatepyramid1,0x4028b9672bfd71ba2fcd97a6c82e06f72eaa14ba,38,17,86.0631,84.06,$929,$907.01,10,6,2016-04-06,2018-09-04,881,
29,28,Thesimplegame,0x7894ccf2997c8c89a80b86faa012d09d53ed48b9,34,46,177.681039,173.7581039,"$2,046","$1,998.98",11,7,2016-04-03,2018-09-04,884,
30,29,Newponzi,0xf835b307bc5348194ae01ed729170c84217ba688,33,41,79.95,79.37,$831,$824.66,19,7,2016-04-05,2016-04-08,3,
31,30,Doubler3,0xdc84953d7c6448e498eb3c33ab0f815da5d13999,269,19,784.95041,784.95041,"$3,440","$3,448.40",18,9,2016-02-20,2016-10-14,237,
32,31,Quick1,0xcff9cb72d19c10df754ae7be6d280e379cdb2354,26,36,111.383,110.7133,"$1,159","$1,156.48",13,7,2016-04-05,2016-04-06,1,
33,32,The10ETHPyramid1,0x80d9c4f6209044de069c545f68644419b520a02f,23,31,200,199,"$2,185","$2,173.40",7,6,2016-04-04,2018-10-09,918,
34,33,NoFeePonzi,0xf7070fc72e2b92c6309785a39338d7c919a3cf4a,29,23,155.814,150.8254,"$1,724","$1,671.43",11,11,2016-04-04,2016-04-05,1,
35,34,FountainOfWealth,0x316201f586706aaa2795bc2a3f0bad2379c363e4,14,38,88.35,87.4921,"$1,023",$998.64,6,2,2016-04-02,2018-03-29,726,
36,35,Send1Get2,0xf243688304fa4f6c6efadc22b9c1dd009aa76650,360,28,20,19.9,$208,$206.76,8,5,2016-04-05,2018-04-30,755,
37,36,SmallPonzi2,0x9d5bdaa9d82782c03402dd5c675ae3e45b3102e2,20,30,22.8275,22.81116667,$246,$246.13,10,7,2016-04-06,2016-04-06,0,
38,37,The10ETHPyramid2,0x4668cd871eba35997e1fbe66d0eddf6612d018ce,17,32,87.1,87,$967,$965.70,7,7,2016-04-04,2016-04-04,0,
39,38,Triple,0x4229a873bbd207deef8f41e807e563c26033d118,20,26,138,136.2,"$1,408","$1,383.92",10,7,2016-04-05,2016-04-08,3,
